"Stadtteil,Stadtbezirk,Stadt,Land,Entfernung,Bars,Diskotheken,Kinos,Theater,Museeen"
Langenhorn,Hamburg-Nord,Hamburg,Deutschland,12.58
Lemsahl-Mellingstedt,Wandsbek,Hamburg,Deutschland,15.62
Lohbrügge,Bergedorf,Hamburg,Deutschland,14.63
Lokstedt,Eimsbüttel,Hamburg,Deutschland,6.48
Lurup,Altona,Hamburg,Deutschland,9.6
Marienthal,Wandsbek,Hinschenfelde,Hamburg,Deutschland,5.66
Marmstorf,Harburg,Hamburg,Deutschland,12.76
Moorburg,Harburg,Hamburg,Deutschland,8.89
Moorfleet,Bergedorf,Hamburg,Deutschland,7.11
Neuallermöhe,Bergedorf,Hamburg,Deutschland,13.11
Neuenfelde,Harburg,Hamburg,Deutschland,13.26
Neuengamme,Bergedorf,Achterdeich,Hamburg,Deutschland,19.5
Neugraben-Fischbek,Harburg,Hamburg,Deutschland,13.49
Neuland,Harburg,Stillhorn,Hamburg,Deutschland,9.45
Neustadt,Hamburg-Mitte,Hamburg,Deutschland,1.43
Hamburg,Hamburg Neuwerk,Hamburg-Mitte,Hamburg,Deutschland,111.67
Niendorf,Eimsbüttel,Hamburg,Deutschland,9.18
Nienstedten,Altona,Hamburg,Deutschland,10.36
Ochsenwerder,Bergedorf,Gauert,Hamburg,Deutschland,9.91
Ohlsdorf,Hamburg-Nord,Hamburg,Deutschland,8.29
Osdorf,Altona,Hamburg,Deutschland,9.66
Othmarschen,Altona,Hamburg,Deutschland,7.49
Ottensen,Altona,Hamburg,Deutschland,5.38
Poppenbüttel,Wandsbek,Hamburg,Deutschland,12.76
Rahlstedt,Wandsbek,Hamburg,Deutschland,12.01
Reitbrook,Bergedorf,Fünfhausen,Hamburg,Deutschland,13.53
Rissen,Altona,Hamburg,Deutschland,16.62
Rönneburg,Harburg,Hamburg,Deutschland,12.65
Rothenburgsort,Hamburg-Mitte,Hamburg,Deutschland,2.91
Rotherbaum,Eimsbüttel,Hamburg,Deutschland,2.19
Sasel,Wandsbek,Hamburg,Deutschland,13.7
Schnelsen,Eimsbüttel,Hamburg,Deutschland,11.1
Sinstorf,Harburg,Hamburg,Deutschland,14.08
Spadenland,Bergedorf,Moorwerder,Hamburg,Deutschland,8.82
St. Georg,Hamburg-Mitte,Hamburg,Deutschland,1.16
St. Pauli,Hamburg-Mitte,Hamburg,Deutschland,2.76
Steilshoop,Wandsbek,Hamburg,Deutschland,7.73
Steinwerder,Hamburg-Mitte,Hamburg,Deutschland,2.86
Stellingen,Eimsbüttel,Hamburg,Deutschland,7.04
Sternschanze,Altona,Hamburg,Deutschland,2.78
Sülldorf,Altona,Hamburg,Deutschland,13.97
Tatenberg,Bergedorf,Hamburg,Deutschland,8.2
Tonndorf,Wandsbek,Hamburg,Deutschland,8.74
Uhlenhorst,Hamburg-Nord,Hamburg,Deutschland,2.48
Veddel,Hamburg-Mitte,Hamburg,Deutschland,3.07
Volksdorf,Wandsbek,Hamburg,Deutschland,15.41
Waltershof,Hamburg-Mitte,Hamburg,Deutschland,6.85
Wandsbek,Hinschenfelde,Hamburg,Deutschland,5.72
Wellingsbüttel,Wandsbek,Hamburg,Deutschland,11.88
Wilhelmsburg,Hamburg-Mitte,Hamburg,Deutschland,6.46
Wilstorf,Harburg,Hamburg,Deutschland,11.72
Winterhude,Hamburg-Nord,Hamburg,Deutschland,5.12
Wohldorf-Ohlstedt,Wandsbek,Hamburg,Deutschland,18.93
